input token,output token
1677,106
3927,300
3927,300
3927,300
3927,300
3927,300
2226,132
2226,153
2226,135
2226,130
2226,139
2226,137
2226,90
6457,300
6457,300
6457,300
6457,300
6457,300
2131,67
29090,300
29090,300
29090,300
2131,77
29090,654
29090,701
29090,614
2001,49
29090,661
29090,636
29090,641
29090,676
29090,411
1464,73
29090,694
29090,633
29090,659
29090,662
29090,666
2226,140
2226,113
2226,97
2226,132
2226,105
2226,131
2226,127
2226,138
2226,119
2226,128
2298,156
2298,141
2298,115
4983,852
4983,873
4983,869
4983,864
4983,885
1903,101
11608,603
11608,591
11608,717
11608,592
11608,629
2986,74
16499,498
16499,384
16499,518
16499,517
16499,464
12564,164
27299,2752
8244,78
27299,4943
8401,68
27299,2797
8244,83
15431,177
32375,692
10436,84
32375,745
10646,71
32375,178
10409,70
7879,170
19283,1585
2988,80
19283,246
2992,87
19283,1979
2988,86
122096,136
1677,97
1677,125
1677,98
1677,91
1677,110
1677,106
1677,94
1677,92
1677,83
1677,128
1903,113
1903,110
1903,125
1903,177
1903,120
1903,135
1903,125
1903,131
1903,178
2986,112
2986,102
2986,105
2986,111
2986,110
2986,112
2986,105
2986,78
2986,78
2986,118
2986,83
2986,106
2986,114
2131,162
2131,77
2131,72
2131,139
2131,109
2131,66
2131,162
2131,69
2131,89
2131,75
2150,72
2150,158
2150,159
2150,161
2150,78
2150,167
2150,74
2150,78
2150,161
2150,161
2317,103
2317,180
1922,99
11608,431
1855,63
11608,688
3266,67
11608,631
2358,58
2317,126
2317,131
2317,137
2317,160
4983,856
2978,74
4983,818
2982,64
4983,90
4983,847
2978,87
2978,70
3005,111
8605,675
950,68
8605,664
913,66
8605,1032
4323,50
10110,162
2150,77
29090,661
1972,61
29090,664
1900,50
29090,667
1900,49
2245,131
11978,587
1617,87
11978,147
11978,584
1617,64
11978,605
1617,55
1696,87
6890,395
986,74
6890,364
986,76
6890,377
986,72
4509,160
